,Name,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48,CurrentSalary,CurrentTeam,PrevSal,NextSal,NameYear,PrevYear,NextYear
0,Precious Achiuwa,C,22,TOR,73,28,23.6,3.6,8.3,0.439,0.8,2.1,0.359,2.9,6.1,0.468,0.486,1.1,1.8,0.595,2.0,4.5,6.5,1.1,0.5,0.6,1.2,2.1,9.1,0.259,6.9,2.3,-2.6,-0.6,21.7,2.1,0.217,-2.0,8.7,0.4,12.7,1.1,11.3,14.9,0.503,18.5,-0.2,2.5,0.07,"$4,379,527",TOR,"$2,711,280",$4379527,2022,2021,2023
1,Steven Adams,C,28,MEM,76,75,26.3,2.8,5.1,0.547,0.0,0.0,0.0,2.8,5.0,0.548,0.547,1.4,2.6,0.543,4.6,5.4,10.0,3.4,0.9,0.8,1.5,2.0,6.9,0.003,16.1,2.7,2.0,1.0,22.0,3.0,0.518,1.0,17.9,3.8,17.6,1.6,19.6,19.9,0.56,12.0,2.0,6.8,0.163,"$12,600,000",MEM,"$17,073,171",$12600000,2022,2021,2023
2,Bam Adebayo,C,24,MIA,56,56,32.6,7.3,13.0,0.557,0.0,0.1,0.0,7.3,12.9,0.562,0.557,4.6,6.1,0.753,2.4,7.6,10.1,3.4,1.4,0.8,2.6,3.1,19.1,0.008,17.5,2.6,3.8,2.1,26.1,3.5,0.466,1.7,8.7,3.6,21.8,2.2,14.4,17.5,0.608,25.0,2.7,7.2,0.188,"$32,600,060",MIA,"$28,103,550",$32600060,2022,2021,2023
3,Santi Aldama,PF,21,MEM,32,0,11.3,1.7,4.1,0.402,0.2,1.5,0.125,1.5,2.6,0.56,0.424,0.6,1.0,0.625,1.0,1.7,2.7,0.7,0.2,0.3,0.5,1.1,4.1,0.364,7.7,2.5,-5.7,-1.5,16.1,0.4,0.242,-4.2,9.4,-0.1,10.2,0.8,9.9,12.6,0.452,18.4,-0.3,0.3,0.044,"$2,194,200",MEM,"$1,994,520",$2194200,2022,2021,2023
4,LaMarcus Aldridge,C,36,BRK,47,12,22.3,5.4,9.7,0.55,0.3,1.0,0.304,5.1,8.8,0.578,0.566,1.9,2.2,0.873,1.6,3.9,5.5,0.9,0.3,1.0,0.9,1.7,12.9,0.1,6.3,4.0,0.7,-0.6,18.7,1.0,0.223,1.3,7.8,2.1,19.6,0.6,8.0,13.4,0.604,22.4,0.7,3.1,0.141,,,"$2,641,691",,2022,2021,2023
5,Nickeil Alexander-Walker,SG,23,TOT,65,21,22.6,3.9,10.5,0.372,1.6,5.2,0.311,2.3,5.3,0.433,0.449,1.2,1.7,0.743,0.6,2.3,2.9,2.4,0.7,0.4,1.4,1.6,10.6,0.497,16.1,1.5,-2.9,-1.1,11.5,1.1,0.16,-1.8,2.7,-1.1,10.5,1.5,11.3,7.1,0.475,24.1,-0.3,0.1,0.003,,,"$3,261,480",$4687500,2022,2021,2023
6,Nickeil Alexander-Walker,SG,23,NOP,50,19,26.3,4.7,12.6,0.375,1.9,6.1,0.311,2.8,6.5,0.434,0.45,1.4,1.9,0.722,0.7,2.6,3.3,2.8,0.8,0.4,1.7,1.8,12.8,0.483,16.1,1.4,-3.0,-1.3,11.0,0.9,0.153,-1.7,3.0,-1.1,10.5,1.5,11.2,6.9,0.474,24.8,-0.3,-0.1,-0.005,,,"$3,261,480",$4687500,2022,2021,2023
7,Nickeil Alexander-Walker,SG,23,UTA,15,2,9.9,1.1,3.2,0.333,0.7,2.2,0.303,0.4,1.0,0.4,0.438,0.7,0.8,0.917,0.1,1.5,1.5,1.1,0.3,0.3,0.5,1.0,3.5,0.688,15.5,2.4,-1.7,1.2,15.6,0.2,0.25,-2.9,0.8,0.0,10.2,1.7,13.1,8.5,0.497,17.9,0.0,0.2,0.07,,,"$3,261,480",$4687500,2022,2021,2023
8,Grayson Allen,SG,26,MIL,66,61,27.3,3.9,8.6,0.448,2.4,5.9,0.409,1.5,2.7,0.533,0.588,1.0,1.1,0.865,0.5,2.9,3.4,1.5,0.7,0.3,0.7,1.5,11.1,0.684,7.6,1.0,0.4,-0.2,10.9,1.4,0.13,0.6,1.9,2.8,12.7,1.2,6.7,6.5,0.609,15.2,1.1,4.2,0.11,"$8,500,000",MIL,"$4,054,695",$8925000,2022,2021,2023
9,Jarrett Allen,C,23,CLE,56,56,32.3,6.6,9.7,0.677,0.0,0.2,0.1,6.6,9.6,0.688,0.678,2.9,4.2,0.708,3.4,7.3,10.8,1.6,0.8,1.3,1.7,1.7,16.1,0.018,8.2,3.7,3.9,1.2,24.5,3.0,0.428,2.7,12.0,5.4,23.0,1.2,12.7,18.4,0.698,18.1,2.7,8.5,0.224,"$20,000,000",CLE,"$20,000,000",$20000000,2022,2021,2023
10,Jose Alvarado,PG,23,NOP,54,1,15.4,2.4,5.4,0.446,0.6,2.0,0.291,1.8,3.4,0.538,0.5,0.7,1.0,0.679,0.5,1.4,1.9,2.8,1.3,0.1,0.7,1.4,6.1,0.374,26.9,0.8,1.9,2.4,10.2,1.1,0.18,-0.5,3.2,1.0,16.4,4.2,11.2,6.6,0.52,18.4,0.8,2.1,0.121,"$1,836,096",NOP,"$1,500,000",$1836096,2022,2021,2023
11,Justin Anderson,SF,28,TOT,16,6,19.8,2.3,5.9,0.379,0.9,3.7,0.254,1.3,2.3,0.583,0.458,0.9,1.2,0.789,0.3,2.6,2.9,2.1,0.5,0.4,0.5,1.4,6.4,0.621,14.2,1.7,-3.2,-1.3,15.0,0.2,0.2,-1.9,1.4,0.2,10.4,1.2,7.2,8.1,0.493,15.1,-0.1,0.4,0.054,,,,,2022,2021,2023
12,Justin Anderson,SF,28,CLE,3,0,15.7,1.3,2.7,0.5,0.7,2.0,0.333,0.7,0.7,1.0,0.625,1.0,1.3,0.75,0.0,2.0,2.0,2.0,0.3,0.0,0.7,1.3,4.3,0.75,17.3,0.0,-2.6,0.4,13.8,0.0,0.5,-3.0,0.0,0.1,10.7,1.1,17.0,7.1,0.666,11.1,0.0,0.1,0.124,,,,,2022,2021,2023
13,Justin Anderson,SF,28,IND,13,6,20.7,2.5,6.7,0.368,1.0,4.1,0.245,1.5,2.6,0.559,0.443,0.9,1.2,0.8,0.3,2.8,3.1,2.1,0.5,0.5,0.5,1.4,6.8,0.609,13.6,1.9,-3.3,-1.6,15.2,0.1,0.172,-1.7,1.6,0.1,10.3,1.3,6.0,8.3,0.475,15.8,-0.1,0.2,0.041,,,,,2022,2021,2023
14,Kyle Anderson,PF,28,MEM,69,11,21.5,3.0,6.8,0.446,0.5,1.6,0.33,2.5,5.2,0.481,0.484,1.0,1.5,0.638,1.0,4.3,5.3,2.7,1.1,0.7,1.0,1.6,7.6,0.232,16.2,2.7,1.2,2.1,21.6,2.5,0.224,-0.9,4.8,1.0,14.4,2.5,12.1,13.0,0.506,16.2,1.2,3.5,0.113,"$9,219,512",MIN,"$9,937,150",$9219512,2022,2021,2023
15,Giannis Antetokounmpo,PF,27,MIL,67,67,32.9,10.3,18.6,0.553,1.1,3.6,0.293,9.2,15.0,0.616,0.582,8.3,11.4,0.722,2.0,9.6,11.6,5.8,1.1,1.4,3.3,3.2,29.9,0.194,31.7,4.0,11.2,3.5,30.4,3.7,0.615,7.6,6.6,9.2,32.1,1.6,12.2,18.7,0.633,34.9,7.4,12.9,0.281,"$45,640,084",MIL,"$39,344,970",$45640084,2022,2021,2023
16,Thanasis Antetokounmpo,SF,29,MIL,48,6,9.9,1.5,2.7,0.547,0.0,0.3,0.143,1.4,2.4,0.596,0.555,0.6,1.0,0.63,0.8,1.3,2.1,0.5,0.3,0.3,0.5,1.4,3.6,0.109,6.5,2.4,-3.5,-0.1,13.4,0.5,0.359,-3.5,9.2,0.4,12.5,1.6,14.9,11.3,0.577,15.7,-0.2,0.9,0.095,,,"$1,729,217",,2022,2021,2023
17,Carmelo Anthony,PF,37,LAL,69,3,26.0,4.6,10.5,0.441,2.2,5.8,0.375,2.5,4.7,0.521,0.544,1.9,2.3,0.83,0.9,3.3,4.2,1.0,0.7,0.8,0.9,2.4,13.3,0.549,5.6,2.6,-0.5,-0.8,13.5,1.4,0.22,0.4,3.7,2.2,14.8,1.3,6.9,8.6,0.579,20.4,0.7,3.6,0.097,,,"$2,641,691",,2022,2021,2023
18,Cole Anthony,PG,21,ORL,65,65,31.7,5.5,14.0,0.391,2.0,6.0,0.338,3.5,8.0,0.432,0.464,3.3,3.9,0.854,0.5,4.9,5.4,5.7,0.7,0.3,2.6,2.6,16.3,0.429,28.9,0.8,-1.2,-0.6,16.2,1.7,0.277,-0.6,1.6,-0.1,13.5,1.1,14.2,8.9,0.519,25.1,0.4,1.6,0.038,"$5,539,771",ORL,"$3,449,400",$5539771,2022,2021,2023
19,OG Anunoby,SF,24,TOR,48,48,36.0,6.4,14.5,0.443,2.4,6.6,0.363,4.0,7.9,0.511,0.526,1.9,2.5,0.754,1.5,4.0,5.5,2.6,1.5,0.5,1.7,2.7,17.1,0.455,11.0,1.4,0.5,0.1,12.6,1.9,0.169,0.4,4.4,1.8,14.8,2.1,9.7,8.3,0.549,20.5,1.1,3.7,0.104,"$18,642,857",TOR,"$16,071,429",$18642857,2022,2021,2023
20,Ryan Arcidiacono,PG,27,NYK,10,0,7.6,0.6,1.2,0.5,0.4,0.9,0.444,0.2,0.3,0.667,0.667,0.0,0.0,,0.0,0.8,0.8,0.4,0.1,0.0,0.3,0.5,1.6,0.75,7.5,0.0,-4.6,0.0,11.5,0.1,0.0,-4.6,0.0,0.0,6.1,0.7,20.0,5.7,0.667,8.6,-0.1,0.1,0.052,,,"$586,136",,2022,2021,2023
21,Trevor Ariza,SF,36,LAL,24,11,19.3,1.4,4.1,0.333,0.8,3.1,0.27,0.5,1.0,0.52,0.434,0.4,0.8,0.556,0.4,3.0,3.4,1.1,0.5,0.3,0.5,0.8,4.0,0.747,7.5,1.2,-3.4,-0.2,16.7,0.4,0.182,-3.3,2.3,-0.2,7.0,1.3,9.3,9.5,0.449,11.0,-0.2,0.2,0.02,,,"$2,641,691",,2022,2021,2023
22,D.J. Augustin,PG,34,TOT,55,2,16.1,1.7,4.0,0.423,1.2,3.0,0.415,0.5,1.1,0.448,0.577,0.7,0.8,0.884,0.2,1.0,1.2,1.9,0.3,0.0,1.0,0.7,5.3,0.739,16.8,0.1,-3.6,-2.4,7.0,0.1,0.194,-1.2,1.4,0.7,9.7,0.9,18.9,4.2,0.61,14.3,-0.4,0.8,0.043,,,"$622,467",,2022,2021,2023
23,D.J. Augustin,PG,34,HOU,34,2,15.0,1.6,4.0,0.404,1.1,2.8,0.406,0.5,1.2,0.4,0.548,1.0,1.1,0.868,0.2,1.0,1.2,2.2,0.3,0.0,1.3,0.5,5.4,0.706,20.5,0.0,-4.3,-2.9,7.4,0.0,0.279,-1.4,1.5,0.2,9.7,0.9,22.8,4.4,0.596,16.4,-0.3,0.2,0.017,,,"$622,467",,2022,2021,2023
24,D.J. Augustin,PG,34,LAL,21,0,17.8,1.9,4.1,0.453,1.4,3.2,0.426,0.5,0.9,0.556,0.622,0.2,0.2,1.0,0.2,1.1,1.3,1.6,0.3,0.0,0.5,1.0,5.3,0.791,11.8,0.2,-2.6,-1.6,6.6,0.1,0.058,-1.0,1.2,0.5,9.7,0.9,11.1,3.9,0.635,11.4,-0.1,0.6,0.079,,,"$622,467",,2022,2021,2023
25,Deni Avdija,SF,21,WAS,82,8,24.2,3.0,7.1,0.432,1.0,3.2,0.317,2.0,3.9,0.525,0.503,1.3,1.7,0.757,0.6,4.5,5.2,2.0,0.7,0.5,1.1,2.3,8.4,0.447,11.8,1.9,-1.7,0.4,20.5,1.8,0.235,-2.1,3.0,0.6,11.6,1.5,12.0,11.9,0.536,16.3,0.1,2.4,0.058,"$6,263,188",WAS,"$4,692,840",$6263188,2022,2021,2023
26,Joel Ayayi,SG,21,WAS,7,0,2.9,0.1,0.9,0.167,0.0,0.1,0.0,0.1,0.7,0.2,0.167,0.0,0.0,,0.1,0.3,0.4,0.6,0.0,0.0,0.0,0.0,0.3,0.167,25.4,0.0,-6.0,-1.7,10.9,0.0,0.0,-4.3,5.6,0.0,3.4,0.0,0.0,8.3,0.167,13.3,0.0,0.0,-0.098,,,,,2022,2021,2023
27,Deandre Ayton,C,23,PHO,58,58,29.5,7.6,12.0,0.634,0.1,0.3,0.368,7.5,11.7,0.642,0.639,1.8,2.4,0.746,2.6,7.7,10.2,1.4,0.7,0.7,1.6,2.4,17.2,0.027,7.6,2.1,2.8,0.6,27.1,3.1,0.204,2.2,9.6,4.1,21.9,1.1,10.7,18.6,0.656,21.4,2.1,7.3,0.203,"$32,459,438",PHO,"$12,632,950",$32459438,2022,2021,2023
28,Udoka Azubuike,C,22,UTA,17,6,11.5,2.2,2.9,0.755,0.0,0.0,,2.2,2.9,0.755,0.755,0.4,0.6,0.545,1.1,3.1,4.2,0.0,0.1,0.6,0.7,1.5,4.7,0.0,0.0,5.0,-1.4,0.4,28.8,0.3,0.224,-1.8,10.5,0.3,17.6,0.3,18.2,19.9,0.743,14.7,0.0,0.6,0.157,,,"$2,075,880",,2022,2021,2023
29,Marvin Bagley III,PF,22,TOT,48,25,24.0,4.7,9.3,0.504,0.5,2.0,0.237,4.2,7.3,0.579,0.53,1.4,2.1,0.663,2.2,4.9,7.0,0.8,0.5,0.4,0.8,1.9,11.3,0.217,5.2,1.4,-2.3,-1.8,22.6,0.9,0.226,-0.5,9.7,1.2,15.7,0.9,7.4,16.0,0.551,19.8,-0.1,2.0,0.084,"$12,500,000",DET,"$11,312,114",$12500000,2022,2021,2023
30,Marvin Bagley III,PF,22,SAC,30,17,22.1,3.8,8.2,0.463,0.5,2.1,0.242,3.3,6.1,0.538,0.494,1.2,1.6,0.745,2.2,4.9,7.2,0.6,0.3,0.4,0.7,1.7,9.3,0.252,3.9,1.5,-3.5,-2.4,24.8,0.4,0.191,-1.1,11.0,0.5,14.3,0.7,7.3,17.8,0.521,18.8,-0.3,0.9,0.067,"$12,500,000",DET,"$11,312,114",$12500000,2022,2021,2023
31,Marvin Bagley III,PF,22,DET,18,8,27.2,6.2,11.1,0.555,0.4,1.9,0.229,5.7,9.2,0.624,0.575,1.8,3.0,0.593,2.1,4.7,6.8,1.1,0.7,0.4,1.0,2.4,14.6,0.175,6.9,1.3,-0.6,-0.9,19.8,0.4,0.27,0.4,8.0,0.7,17.7,1.3,7.4,13.6,0.585,21.2,0.2,1.1,0.107,"$12,500,000",DET,"$11,312,114",$12500000,2022,2021,2023
32,LaMelo Ball,PG,20,CHO,75,75,32.3,7.2,16.7,0.429,2.9,7.5,0.389,4.2,9.2,0.462,0.517,2.8,3.2,0.872,1.4,5.2,6.7,7.6,1.6,0.4,3.3,3.2,20.1,0.451,35.7,1.2,3.4,0.1,17.4,2.5,0.194,3.3,4.7,3.4,19.7,2.4,15.3,11.0,0.554,28.2,3.3,5.8,0.116,"$10,900,635",CHO,"$8,231,760",$10900635,2022,2021,2023
33,Lonzo Ball,PG,24,CHI,35,35,34.6,4.6,10.9,0.423,3.1,7.4,0.423,1.5,3.5,0.423,0.567,0.6,0.8,0.75,1.0,4.4,5.4,5.1,1.8,0.9,2.3,2.4,13.0,0.679,20.0,2.2,2.5,1.6,14.3,1.4,0.073,0.9,3.3,0.8,14.5,2.6,17.2,8.8,0.575,17.4,1.4,2.2,0.088,"$20,465,117",CHI,"$18,604,651",$20465117,2022,2021,2023
34,Mo Bamba,C,23,ORL,71,69,25.7,4.2,8.7,0.48,1.5,4.0,0.381,2.7,4.7,0.563,0.566,0.8,1.0,0.781,2.1,6.0,8.1,1.2,0.5,1.7,1.1,2.6,10.6,0.455,7.4,5.9,0.7,0.9,24.6,2.7,0.118,-0.2,8.5,1.8,16.5,1.0,10.6,16.5,0.582,17.2,1.2,4.5,0.118,,,"$7,568,742",$2019706,2022,2021,2023
35,Desmond Bane,SG,23,MEM,76,76,29.8,6.7,14.5,0.461,3.0,6.9,0.436,3.7,7.6,0.484,0.565,1.8,2.0,0.903,0.6,3.8,4.4,2.7,1.2,0.4,1.5,2.6,18.2,0.475,13.5,1.1,2.7,0.3,13.6,2.7,0.141,2.5,2.1,4.5,17.6,1.9,8.7,7.7,0.592,23.1,2.7,7.2,0.153,"$3,845,083",MEM,"$2,033,160",$3845083,2022,2021,2023
36,Dalano Banton,PG,22,TOR,64,1,10.9,1.3,3.2,0.411,0.2,0.8,0.255,1.1,2.4,0.464,0.443,0.4,0.7,0.591,0.6,1.3,1.9,1.5,0.4,0.2,0.8,1.1,3.2,0.252,19.8,1.4,-3.1,0.4,14.1,0.8,0.218,-3.5,5.6,-0.4,10.0,2.0,19.3,9.7,0.463,16.9,-0.2,0.4,0.03,,,"$925,258",$2019706,2022,2021,2023
37,Cat Barber,PG,27,ATL,3,0,4.3,0.0,1.3,0.0,0.0,0.0,,0.0,1.3,0.0,0.0,0.0,1.3,0.0,0.3,0.7,1.0,1.0,0.0,0.0,0.3,0.3,0.0,0.0,26.7,0.0,-23.5,-7.6,16.7,0.0,1.0,-15.8,8.5,-0.1,-11.2,0.0,14.8,12.6,0.0,22.7,-0.1,-0.1,-0.45,,,,,2022,2021,2023
38,Harrison Barnes,PF,29,SAC,77,77,33.5,5.1,10.8,0.469,1.8,4.7,0.394,3.2,6.2,0.525,0.554,4.4,5.4,0.826,1.1,4.5,5.6,2.4,0.7,0.2,1.5,1.2,16.4,0.432,10.5,0.5,0.2,-1.3,14.9,1.0,0.495,1.5,3.4,5.0,15.7,1.0,10.4,9.1,0.623,18.8,1.4,6.0,0.112,"$17,000,000",SAC,"$20,284,091",$17000000,2022,2021,2023
39,Scottie Barnes,PF,20,TOR,74,74,35.4,6.2,12.6,0.492,0.8,2.6,0.301,5.4,10.0,0.543,0.524,2.1,2.9,0.735,2.6,4.9,7.5,3.5,1.1,0.7,1.8,2.6,15.3,0.207,14.7,2.1,0.9,0.4,15.8,2.9,0.231,0.5,7.7,3.7,16.3,1.5,11.7,11.5,0.552,19.0,1.9,6.6,0.122,"$8,008,680",TOR,"$7,280,520",$8008680,2022,2021,2023
40,RJ Barrett,SF,21,NYK,70,70,34.5,7.0,17.1,0.408,2.0,5.8,0.342,5.0,11.3,0.442,0.466,4.1,5.8,0.714,0.9,4.9,5.8,3.0,0.6,0.2,2.2,2.0,20.0,0.338,14.9,0.7,-1.6,-1.3,15.5,2.2,0.34,-0.3,2.9,0.1,13.7,0.9,9.9,9.1,0.511,27.6,0.2,2.3,0.046,"$23,883,929",NYK,"$8,623,920",$23883929,2022,2021,2023
41,Will Barton,SG,31,DEN,71,71,32.1,5.5,12.6,0.438,2.2,6.1,0.365,3.3,6.6,0.504,0.525,1.4,1.8,0.803,0.6,4.2,4.8,3.9,0.8,0.4,1.8,1.6,14.7,0.48,17.6,1.2,-0.5,-0.9,14.1,1.9,0.142,0.4,2.2,1.2,13.4,1.2,11.8,8.3,0.548,20.8,0.9,3.2,0.067,,,"$15,384,615",,2022,2021,2023
42,Paris Bass,SF,26,PHO,2,0,3.5,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.333,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.5,0.0,1.0,1.0,3.0,0.333,0.0,0.0,-12.4,-1.2,29.9,0.0,0.333,-11.2,31.5,0.0,13.9,6.9,22.5,30.6,0.436,54.6,0.0,0.0,-0.17,,,,,2022,2021,2023
43,Charles Bassey,C,21,PHI,23,0,7.3,1.3,2.0,0.638,0.0,0.2,0.0,1.3,1.9,0.698,0.638,0.4,0.5,0.75,1.0,1.7,2.7,0.3,0.2,0.7,0.3,1.4,3.0,0.085,6.5,9.1,1.7,2.1,26.1,0.3,0.255,-0.4,14.9,0.4,21.5,1.5,13.3,20.6,0.66,16.1,0.2,0.8,0.22,"$2,600,000",SAS,"$925,258",$2600000,2022,2021,2023
44,Keita Bates-Diop,SF,26,SAS,59,14,16.2,2.3,4.5,0.517,0.3,0.9,0.309,2.0,3.5,0.572,0.549,0.8,1.0,0.754,1.1,2.9,3.9,0.7,0.5,0.2,0.8,1.0,5.7,0.209,5.7,1.2,-2.6,-0.5,18.7,1.0,0.232,-2.1,6.8,0.6,12.4,1.4,13.4,12.7,0.578,14.8,-0.1,1.6,0.08,,,"$1,729,217",$2346614,2022,2021,2023
45,Nicolas Batum,PF,33,LAC,59,54,24.8,3.0,6.6,0.463,1.8,4.6,0.4,1.2,2.0,0.607,0.602,0.4,0.6,0.658,0.5,3.8,4.3,1.7,1.0,0.7,0.7,1.4,8.3,0.698,9.7,2.4,2.3,1.9,15.8,2.1,0.098,0.5,2.2,1.6,13.5,1.9,9.0,9.2,0.608,13.3,1.6,3.7,0.123,"$11,710,818",LAC,"$3,170,029",$11710818,2022,2021,2023
46,Kent Bazemore,SF,32,LAL,39,14,14.0,1.2,3.6,0.324,0.7,2.1,0.363,0.4,1.5,0.271,0.428,0.3,0.4,0.765,0.3,1.4,1.8,0.9,0.6,0.2,0.5,1.8,3.4,0.576,8.1,1.5,-4.3,0.8,11.0,0.5,0.122,-5.1,2.6,-0.4,6.0,2.2,12.5,6.8,0.451,13.2,-0.3,0.1,0.006,,,"$2,401,537",,2022,2021,2023
47,Darius Bazley,PF,21,OKC,69,53,27.9,4.0,9.4,0.422,1.2,3.9,0.297,2.8,5.5,0.511,0.484,1.7,2.5,0.688,1.0,5.3,6.3,1.4,0.8,1.0,1.3,1.0,10.8,0.414,7.7,3.4,-1.8,0.3,19.8,2.2,0.262,-2.1,3.7,-0.5,12.6,1.5,11.1,11.6,0.515,18.3,0.1,1.8,0.044,,,"$2,513,040",$2019706,2022,2021,2023
48,Bradley Beal,SG,28,WAS,40,40,36.0,8.7,19.3,0.451,1.6,5.3,0.3,7.1,14.0,0.508,0.492,4.2,5.1,0.833,1.0,3.8,4.7,6.6,0.9,0.4,3.4,2.4,23.2,0.272,30.8,0.9,0.8,-1.2,11.4,0.7,0.263,2.0,3.0,0.6,17.5,1.2,13.6,7.3,0.539,30.8,1.0,1.4,0.046,"$46,741,590",PHO,"$34,502,130",$46741590,2022,2021,2023
49,Malik Beasley,SG,25,MIN,79,18,25.0,4.2,10.8,0.391,3.0,8.1,0.377,1.2,2.7,0.432,0.532,0.6,0.8,0.817,0.3,2.5,2.9,1.5,0.5,0.2,0.5,1.1,12.1,0.749,8.5,0.6,-0.7,-1.5,11.2,1.2,0.071,0.7,1.4,1.7,11.9,1.0,4.7,6.2,0.544,19.4,0.7,2.9,0.069,,,"$14,391,964",$2019706,2022,2021,2023
50,Jordan Bell,C,27,CHI,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,,0.0,0.0,2.7,10.8,0.0,0.0,,-8.1,56.6,0.0,29.9,24.4,,28.1,,0.0,0.0,0.0,0.6,,,,,2022,2021,2023
51,DeAndre' Bembry,SF,27,TOT,56,20,18.3,2.2,3.9,0.561,0.3,0.6,0.417,1.9,3.3,0.589,0.595,0.4,0.6,0.6,0.8,2.2,2.9,1.2,0.9,0.4,0.6,2.0,5.1,0.163,8.6,2.2,-0.7,1.5,12.5,1.1,0.158,-2.2,4.6,1.1,11.9,2.3,11.6,8.6,0.601,11.2,0.3,2.2,0.104,,,"$601,867",,2022,2021,2023
52,DeAndre' Bembry,SF,27,BRK,48,20,19.8,2.5,4.4,0.568,0.3,0.8,0.417,2.2,3.7,0.599,0.603,0.4,0.7,0.6,0.8,2.4,3.2,1.3,1.0,0.5,0.6,2.2,5.8,0.169,8.5,2.4,-0.4,1.6,12.8,1.1,0.164,-2.0,4.5,1.1,12.4,2.4,11.6,8.7,0.609,11.7,0.4,2.1,0.108,,,"$601,867",,2022,2021,2023
53,DeAndre' Bembry,SF,27,MIL,8,0,9.6,0.4,1.0,0.375,0.0,0.0,,0.4,1.0,0.375,0.375,0.0,0.0,,0.5,0.9,1.4,0.8,0.3,0.0,0.1,1.1,0.8,0.0,9.4,0.0,-3.9,0.5,9.4,0.1,0.0,-4.4,5.6,0.0,4.8,1.2,11.1,7.6,0.375,5.0,0.0,0.1,0.053,,,"$601,867",,2022,2021,2023
54,Dāvis Bertāns,PF,29,TOT,56,0,14.4,1.8,4.9,0.36,1.4,4.1,0.335,0.4,0.8,0.489,0.5,0.6,0.7,0.9,0.2,1.9,2.1,0.6,0.3,0.2,0.3,1.5,5.6,0.836,5.5,1.3,-2.6,-0.9,14.3,0.7,0.145,-1.7,1.7,0.2,9.4,1.0,6.1,8.0,0.531,17.3,-0.1,0.9,0.053,"$17,000,000",OKC,"$16,000,000",$17000000,2022,2021,2023
55,Dāvis Bertāns,PF,29,WAS,34,0,14.7,1.8,5.0,0.351,1.4,4.2,0.319,0.4,0.8,0.519,0.485,0.8,0.9,0.933,0.2,1.6,1.8,0.5,0.3,0.2,0.4,1.6,5.7,0.842,4.4,1.0,-3.8,-1.3,12.0,0.3,0.175,-2.5,1.3,0.0,8.3,1.1,7.1,6.7,0.527,17.6,-0.2,0.3,0.025,"$17,000,000",OKC,"$16,000,000",$17000000,2022,2021,2023
56,Dāvis Bertāns,PF,29,DAL,22,0,13.9,1.8,4.7,0.375,1.4,3.9,0.36,0.4,0.8,0.444,0.524,0.4,0.5,0.8,0.3,2.3,2.5,0.7,0.3,0.3,0.2,1.4,5.3,0.827,7.1,1.8,-0.6,-0.3,18.2,0.4,0.096,-0.4,2.2,0.2,11.2,1.0,4.4,10.2,0.54,16.7,0.1,0.6,0.098,"$17,000,000",OKC,"$16,000,000",$17000000,2022,2021,2023
57,Patrick Beverley,PG,33,MIN,58,54,25.4,3.1,7.5,0.406,1.4,4.2,0.343,1.6,3.3,0.485,0.501,1.7,2.3,0.722,1.1,3.1,4.1,4.6,1.2,0.9,1.3,3.0,9.2,0.555,24.5,3.4,2.7,2.1,13.2,1.7,0.305,0.6,4.4,2.3,14.8,2.2,12.9,8.7,0.539,16.1,1.7,4.1,0.132,,,"$14,320,988",$2019706,2022,2021,2023
58,Saddiq Bey,SF,22,DET,82,82,33.0,5.5,13.9,0.396,2.6,7.4,0.346,2.9,6.4,0.454,0.489,2.6,3.1,0.827,1.3,4.1,5.4,2.8,0.9,0.2,1.2,1.6,16.1,0.537,13.8,0.5,-0.3,-1.2,14.1,1.6,0.224,0.9,4.1,2.4,14.0,1.3,7.1,8.8,0.529,21.3,1.2,4.0,0.071,"$4,556,983",ATL,"$2,824,320",$4556983,2022,2021,2023
59,Khem Birch,C,29,TOR,55,28,18.0,1.8,3.6,0.485,0.0,0.3,0.0,1.8,3.4,0.522,0.485,1.0,1.3,0.746,2.2,2.1,4.3,1.0,0.5,0.5,0.5,1.9,4.5,0.07,7.6,2.6,-1.3,0.4,13.5,1.1,0.355,-1.7,12.7,1.5,13.2,1.5,11.1,13.1,0.534,11.2,0.2,2.6,0.126,"$6,985,000",SAS,"$6,350,000",$6985000,2022,2021,2023
60,Goga Bitadze,C,22,IND,50,16,14.6,2.6,5.0,0.52,0.5,1.6,0.288,2.2,3.4,0.628,0.565,1.3,1.9,0.681,1.6,2.0,3.5,1.1,0.4,0.8,0.9,2.1,7.0,0.317,11.2,5.0,-0.8,-0.6,15.3,0.6,0.373,-0.2,11.9,1.3,18.0,1.4,13.6,13.5,0.595,19.9,0.2,1.9,0.122,"$2,066,585",ORL,"$3,098,400",$2066585,2022,2021,2023
