,Name,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48,CurrentSalary,CurrentTeam,PrevSal,NextSal,NameYear,PrevYear,NextYear
317,Malcolm Hill,SG,26,ATL,3,0,15.3,1.7,2.7,0.625,1.0,1.7,0.6,0.7,1.0,0.667,0.813,1.3,1.3,1.0,0.7,1.3,2.0,0.3,1.3,0.3,0.0,2.3,5.7,0.625,2.9,1.9,3.8,3.5,9.5,0.1,0.5,0.3,4.8,0.2,19.0,4.3,0.0,7.1,0.871,9.3,0.1,0.2,0.252,,,,,2022,2021,2023
318,Malcolm Hill,SF,26,CHI,16,0,10.4,1.2,2.8,0.432,0.6,1.9,0.323,0.6,0.8,0.692,0.545,0.4,0.6,0.7,0.6,1.3,1.8,0.4,0.2,0.1,0.2,1.1,3.4,0.705,5.6,1.0,-3.1,-1.6,13.5,0.1,0.227,-1.5,6.1,0.2,11.0,0.9,5.8,9.8,0.568,13.6,0.0,0.3,0.091,,,,,2022,2021,2023
319,Solomon Hill,SF,30,ATL,13,1,10.7,0.2,1.5,0.15,0.2,1.0,0.154,0.1,0.5,0.143,0.2,0.0,0.0,,0.5,1.3,1.8,0.9,0.3,0.2,0.1,1.2,0.6,0.65,10.3,1.3,-4.0,1.2,13.3,0.1,0.0,-5.2,4.8,-0.1,3.3,1.4,4.8,9.1,0.2,6.6,-0.1,0.0,-0.006,,,"$2,389,641",,2022,2021,2023
320,Nate Hinton,SG,22,IND,2,0,1.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,-42.6,-14.5,0.0,0.0,0.0,-28.1,0.0,-0.1,-45.2,0.0,50.0,0.0,0.0,42.8,0.0,-0.1,-1.231,,,,,2022,2021,2023
321,Jaylen Hoard,SF,22,OKC,7,5,34.3,6.3,12.9,0.489,1.3,3.6,0.36,5.0,9.3,0.538,0.539,0.9,2.0,0.429,4.3,7.7,12.0,2.4,0.9,0.7,1.1,2.0,14.7,0.278,11.6,1.9,-0.9,-2.1,23.5,0.3,0.156,1.2,12.7,0.3,18.0,1.2,7.7,18.0,0.536,18.7,0.1,0.6,0.118,,,,,2022,2021,2023
322,Aaron Holiday,PG,25,TOT,63,15,16.2,2.4,5.4,0.447,0.6,1.6,0.379,1.8,3.7,0.477,0.504,0.9,1.1,0.868,0.4,1.6,1.9,2.4,0.7,0.1,1.1,1.5,6.3,0.305,20.7,0.7,-1.7,0.3,10.3,0.9,0.201,-1.9,2.6,0.5,12.6,2.0,15.4,6.5,0.544,18.7,0.1,1.5,0.068,,,"$3,980,551",$2019706,2022,2021,2023
323,Aaron Holiday,PG,25,WAS,41,14,16.2,2.4,5.2,0.467,0.6,1.6,0.343,1.9,3.6,0.524,0.521,0.7,0.9,0.8,0.2,1.4,1.6,1.9,0.6,0.2,1.0,1.5,6.1,0.313,17.1,1.2,-2.1,0.3,9.5,0.4,0.164,-2.4,1.5,0.1,11.3,1.8,14.5,5.6,0.547,18.0,0.0,0.5,0.038,,,"$3,980,551",$2019706,2022,2021,2023
324,Aaron Holiday,PG,25,PHO,22,1,16.3,2.3,5.6,0.411,0.7,1.6,0.444,1.6,4.0,0.398,0.476,1.4,1.5,0.939,0.7,1.8,2.5,3.4,0.8,0.0,1.3,1.5,6.8,0.29,27.4,0.0,-0.8,0.3,11.7,0.5,0.266,-1.0,4.6,0.4,14.9,2.4,16.8,8.2,0.538,20.0,0.1,0.9,0.125,,,"$3,980,551",$2019706,2022,2021,2023
325,Jrue Holiday,PG,31,MIL,67,64,33.0,7.1,14.2,0.501,2.0,4.8,0.411,5.2,9.4,0.547,0.57,2.0,2.7,0.761,1.0,3.5,4.5,6.8,1.6,0.4,2.7,2.0,18.3,0.336,31.8,1.3,3.2,0.3,10.9,2.4,0.189,2.9,3.4,4.5,19.8,2.4,15.0,7.2,0.593,23.5,2.9,6.9,0.15,"$36,158,747",MIL,"$30,133,333",$36861707,2022,2021,2023
326,Justin Holiday,SF-SG,32,TOT,74,65,27.8,3.5,8.9,0.394,2.4,6.5,0.367,1.1,2.4,0.467,0.528,0.7,0.8,0.806,0.4,2.2,2.6,1.7,0.8,0.4,0.9,2.1,10.1,0.728,8.6,1.4,-2.2,-0.8,8.8,0.6,0.094,-1.4,1.5,0.8,9.5,1.3,9.2,5.1,0.543,15.8,-0.1,1.4,0.033,,,"$6,006,420",$2019706,2022,2021,2023
