,Name,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48,CurrentSalary,CurrentTeam,PrevSal,NextSal,NameYear,PrevYear,NextYear,SalClean,SalNorm,PrevSalClean,NextSalClean,PrevSalNorm,NextSalNorm
25,Deni Avdija,SF,21,WAS,82,8,24.2,3.0,7.1,0.432,1.0,3.2,0.317,2.0,3.9,0.525,0.503,1.3,1.7,0.757,0.6,4.5,5.2,2.0,0.7,0.5,1.1,2.3,8.4,0.447,11.8,1.9,-1.7,0.4,20.5,1.8,0.235,-2.1,3.0,0.6,11.6,1.5,12.0,11.9,0.536,16.3,0.1,2.4,0.058,"$6,263,188",WAS,"$4,692,840",$6263188,2022,2021,2022,,,4.69284,6.263188,5.678338904762751,6.889532125251708
27,Deandre Ayton,C,23,PHO,58,58,29.5,7.6,12.0,0.634,0.1,0.3,0.368,7.5,11.7,0.642,0.639,1.8,2.4,0.746,2.6,7.7,10.2,1.4,0.7,0.7,1.6,2.4,17.2,0.027,7.6,2.1,2.8,0.6,27.1,3.1,0.204,2.2,9.6,4.1,21.9,1.1,10.7,18.6,0.656,21.4,2.1,7.3,0.203,"$32,459,438",PHO,"$12,632,950",$32459438,2022,2021,2022,,,12.63295,32.459438,15.285876242727772,35.70551305000201
29,Marvin Bagley III,PF,22,TOT,48,25,24.0,4.7,9.3,0.504,0.5,2.0,0.237,4.2,7.3,0.579,0.53,1.4,2.1,0.663,2.2,4.9,7.0,0.8,0.5,0.4,0.8,1.9,11.3,0.217,5.2,1.4,-2.3,-1.8,22.6,0.9,0.226,-0.5,9.7,1.2,15.7,0.9,7.4,16.0,0.551,19.8,-0.1,2.0,0.084,"$12,500,000",DET,"$11,312,114",$12500000,2022,2021,2022,,,11.312114,12.5,13.687663977742982,13.750050543851843
30,Marvin Bagley III,PF,22,SAC,30,17,22.1,3.8,8.2,0.463,0.5,2.1,0.242,3.3,6.1,0.538,0.494,1.2,1.6,0.745,2.2,4.9,7.2,0.6,0.3,0.4,0.7,1.7,9.3,0.252,3.9,1.5,-3.5,-2.4,24.8,0.4,0.191,-1.1,11.0,0.5,14.3,0.7,7.3,17.8,0.521,18.8,-0.3,0.9,0.067,"$12,500,000",DET,"$11,312,114",$12500000,2022,2021,2022,,,11.312114,12.5,13.687663977742982,13.750050543851843
31,Marvin Bagley III,PF,22,DET,18,8,27.2,6.2,11.1,0.555,0.4,1.9,0.229,5.7,9.2,0.624,0.575,1.8,3.0,0.593,2.1,4.7,6.8,1.1,0.7,0.4,1.0,2.4,14.6,0.175,6.9,1.3,-0.6,-0.9,19.8,0.4,0.27,0.4,8.0,0.7,17.7,1.3,7.4,13.6,0.585,21.2,0.2,1.1,0.107,"$12,500,000",DET,"$11,312,114",$12500000,2022,2021,2022,,,11.312114,12.5,13.687663977742982,13.750050543851843
32,LaMelo Ball,PG,20,CHO,75,75,32.3,7.2,16.7,0.429,2.9,7.5,0.389,4.2,9.2,0.462,0.517,2.8,3.2,0.872,1.4,5.2,6.7,7.6,1.6,0.4,3.3,3.2,20.1,0.451,35.7,1.2,3.4,0.1,17.4,2.5,0.194,3.3,4.7,3.4,19.7,2.4,15.3,11.0,0.554,28.2,3.3,5.8,0.116,"$10,900,635",CHO,"$8,231,760",$10900635,2022,2021,2022,,,8.23176,10.900635,9.960433993630684,11.990742576806435
33,Lonzo Ball,PG,24,CHI,35,35,34.6,4.6,10.9,0.423,3.1,7.4,0.423,1.5,3.5,0.423,0.567,0.6,0.8,0.75,1.0,4.4,5.4,5.1,1.8,0.9,2.3,2.4,13.0,0.679,20.0,2.2,2.5,1.6,14.3,1.4,0.073,0.9,3.3,0.8,14.5,2.6,17.2,8.8,0.575,17.4,1.4,2.2,0.088,"$20,465,117",CHI,"$18,604,651",$20465117,2022,2021,2022,,,18.604651,20.465117,22.51163764007152,22.511711450867327
35,Desmond Bane,SG,23,MEM,76,76,29.8,6.7,14.5,0.461,3.0,6.9,0.436,3.7,7.6,0.484,0.565,1.8,2.0,0.903,0.6,3.8,4.4,2.7,1.2,0.4,1.5,2.6,18.2,0.475,13.5,1.1,2.7,0.3,13.6,2.7,0.141,2.5,2.1,4.5,17.6,1.9,8.7,7.7,0.592,23.1,2.7,7.2,0.153,"$3,845,083",MEM,"$2,033,160",$3845083,2022,2021,2022,,,2.03316,3.845083,2.4601246851815612,4.229606847624439
38,Harrison Barnes,PF,29,SAC,77,77,33.5,5.1,10.8,0.469,1.8,4.7,0.394,3.2,6.2,0.525,0.554,4.4,5.4,0.826,1.1,4.5,5.6,2.4,0.7,0.2,1.5,1.2,16.4,0.432,10.5,0.5,0.2,-1.3,14.9,1.0,0.495,1.5,3.4,5.0,15.7,1.0,10.4,9.1,0.623,18.8,1.4,6.0,0.112,"$17,000,000",SAC,"$20,284,091",$17000000,2022,2021,2022,,,20.284091,17.0,24.54376093645809,18.70006873963851
39,Scottie Barnes,PF,20,TOR,74,74,35.4,6.2,12.6,0.492,0.8,2.6,0.301,5.4,10.0,0.543,0.524,2.1,2.9,0.735,2.6,4.9,7.5,3.5,1.1,0.7,1.8,2.6,15.3,0.207,14.7,2.1,0.9,0.4,15.8,2.9,0.231,0.5,7.7,3.7,16.3,1.5,11.7,11.5,0.552,19.0,1.9,6.6,0.122,"$8,008,680",TOR,"$7,280,520",$8008680,2022,2021,2022,,,7.28052,8.00868,8.809433085914565,8.809580383162832
40,RJ Barrett,SF,21,NYK,70,70,34.5,7.0,17.1,0.408,2.0,5.8,0.342,5.0,11.3,0.442,0.466,4.1,5.8,0.714,0.9,4.9,5.8,3.0,0.6,0.2,2.2,2.0,20.0,0.338,14.9,0.7,-1.6,-1.3,15.5,2.2,0.34,-0.3,2.9,0.1,13.7,0.9,9.9,9.1,0.511,27.6,0.2,2.3,0.046,"$23,883,929",NYK,"$8,623,920",$23883929,2022,2021,2022,,,8.62392,23.883929,10.434947802942691,26.272418474861507
43,Charles Bassey,C,21,PHI,23,0,7.3,1.3,2.0,0.638,0.0,0.2,0.0,1.3,1.9,0.698,0.638,0.4,0.5,0.75,1.0,1.7,2.7,0.3,0.2,0.7,0.3,1.4,3.0,0.085,6.5,9.1,1.7,2.1,26.1,0.3,0.255,-0.4,14.9,0.4,21.5,1.5,13.3,20.6,0.66,16.1,0.2,0.8,0.22,"$2,600,000",SAS,"$925,258",$2600000,2022,2021,2022,,,0.925258,2.6,1.119562673848453,2.8600105131211837
45,Nicolas Batum,PF,33,LAC,59,54,24.8,3.0,6.6,0.463,1.8,4.6,0.4,1.2,2.0,0.607,0.602,0.4,0.6,0.658,0.5,3.8,4.3,1.7,1.0,0.7,0.7,1.4,8.3,0.698,9.7,2.4,2.3,1.9,15.8,2.1,0.098,0.5,2.2,1.6,13.5,1.9,9.0,9.2,0.608,13.3,1.6,3.7,0.123,"$11,710,818",LAC,"$3,170,029",$11710818,2022,2021,2022,,,3.170029,11.710818,3.835736781975554,12.881947152787998
48,Bradley Beal,SG,28,WAS,40,40,36.0,8.7,19.3,0.451,1.6,5.3,0.3,7.1,14.0,0.508,0.492,4.2,5.1,0.833,1.0,3.8,4.7,6.6,0.9,0.4,3.4,2.4,23.2,0.272,30.8,0.9,0.8,-1.2,11.4,0.7,0.263,2.0,3.0,0.6,17.5,1.2,13.6,7.3,0.539,30.8,1.0,1.4,0.046,"$46,741,590",PHO,"$34,502,130",$46741590,2022,2021,2022,,,34.50213,46.74159,41.74759571521341,51.415938
54,Dāvis Bertāns,PF,29,TOT,56,0,14.4,1.8,4.9,0.36,1.4,4.1,0.335,0.4,0.8,0.489,0.5,0.6,0.7,0.9,0.2,1.9,2.1,0.6,0.3,0.2,0.3,1.5,5.6,0.836,5.5,1.3,-2.6,-0.9,14.3,0.7,0.145,-1.7,1.7,0.2,9.4,1.0,6.1,8.0,0.531,17.3,-0.1,0.9,0.053,"$17,000,000",OKC,"$16,000,000",$17000000,2022,2021,2022,,,16.0,17.0,19.36000853986158,18.70006873963851
55,Dāvis Bertāns,PF,29,WAS,34,0,14.7,1.8,5.0,0.351,1.4,4.2,0.319,0.4,0.8,0.519,0.485,0.8,0.9,0.933,0.2,1.6,1.8,0.5,0.3,0.2,0.4,1.6,5.7,0.842,4.4,1.0,-3.8,-1.3,12.0,0.3,0.175,-2.5,1.3,0.0,8.3,1.1,7.1,6.7,0.527,17.6,-0.2,0.3,0.025,"$17,000,000",OKC,"$16,000,000",$17000000,2022,2021,2022,,,16.0,17.0,19.36000853986158,18.70006873963851
56,Dāvis Bertāns,PF,29,DAL,22,0,13.9,1.8,4.7,0.375,1.4,3.9,0.36,0.4,0.8,0.444,0.524,0.4,0.5,0.8,0.3,2.3,2.5,0.7,0.3,0.3,0.2,1.4,5.3,0.827,7.1,1.8,-0.6,-0.3,18.2,0.4,0.096,-0.4,2.2,0.2,11.2,1.0,4.4,10.2,0.54,16.7,0.1,0.6,0.098,"$17,000,000",OKC,"$16,000,000",$17000000,2022,2021,2022,,,16.0,17.0,19.36000853986158,18.70006873963851
58,Saddiq Bey,SF,22,DET,82,82,33.0,5.5,13.9,0.396,2.6,7.4,0.346,2.9,6.4,0.454,0.489,2.6,3.1,0.827,1.3,4.1,5.4,2.8,0.9,0.2,1.2,1.6,16.1,0.537,13.8,0.5,-0.3,-1.2,14.1,1.6,0.224,0.9,4.1,2.4,14.0,1.3,7.1,8.8,0.529,21.3,1.2,4.0,0.071,"$4,556,983",ATL,"$2,824,320",$4556983,2022,2021,2022,,,2.82432,4.556983,3.4174287074563665,5.012699726197888
59,Khem Birch,C,29,TOR,55,28,18.0,1.8,3.6,0.485,0.0,0.3,0.0,1.8,3.4,0.522,0.485,1.0,1.3,0.746,2.2,2.1,4.3,1.0,0.5,0.5,0.5,1.9,4.5,0.07,7.6,2.6,-1.3,0.4,13.5,1.1,0.355,-1.7,12.7,1.5,13.2,1.5,11.1,13.1,0.534,11.2,0.2,2.6,0.126,"$6,985,000",SAS,"$6,350,000",$6985000,2022,2021,2022,,,6.35,6.985,7.683503389257565,7.683528243904411
60,Goga Bitadze,C,22,IND,50,16,14.6,2.6,5.0,0.52,0.5,1.6,0.288,2.2,3.4,0.628,0.565,1.3,1.9,0.681,1.6,2.0,3.5,1.1,0.4,0.8,0.9,2.1,7.0,0.317,11.2,5.0,-0.8,-0.6,15.3,0.6,0.373,-0.2,11.9,1.3,18.0,1.4,13.6,13.5,0.595,19.9,0.2,1.9,0.122,"$2,066,585",ORL,"$3,098,400",$2066585,2022,2021,2022,,,3.0984,2.066585,3.749065653744195,2.2732518562532853
63,Eric Bledsoe,PG,32,LAC,54,29,25.2,3.6,8.7,0.421,0.9,3.0,0.313,2.7,5.6,0.479,0.475,1.6,2.2,0.761,0.5,2.9,3.4,4.2,1.3,0.4,2.1,1.6,9.9,0.348,24.1,1.2,-0.8,1.3,11.6,1.8,0.25,-2.1,2.2,-0.5,12.5,2.5,18.3,7.1,0.514,20.5,0.4,1.3,0.047,"$1,300,000",POR,"$18,125,000",$1300000,2022,2021,2022,,,18.125,1.3,21.93125967406195,1.4300052565605919
65,Bogdan Bogdanović,SG,29,ATL,63,27,29.3,5.4,12.6,0.431,2.7,7.3,0.368,2.7,5.3,0.516,0.537,1.5,1.8,0.843,0.5,3.5,4.0,3.1,1.1,0.2,1.1,2.1,15.1,0.578,15.5,0.7,1.3,-0.2,13.0,1.2,0.145,1.5,1.7,2.5,15.4,1.8,7.7,7.4,0.562,21.6,1.5,3.7,0.095,"$18,000,000",ATL,"$18,000,000",$18700000,2022,2021,2022,,,18.0,18.7,21.78000960734428,20.57007561360236
66,Bojan Bogdanović,PF,32,UTA,69,69,30.9,6.1,13.4,0.455,2.6,6.8,0.387,3.5,6.7,0.524,0.552,3.2,3.8,0.858,0.8,3.4,4.3,1.7,0.5,0.0,1.7,1.7,18.1,0.504,8.7,0.0,0.0,-1.6,11.8,1.6,0.28,1.6,3.1,3.6,15.7,0.8,10.2,7.6,0.599,23.7,1.1,5.2,0.118,"$20,000,000",DET,"$18,700,000",$20000000,2022,2021,2022,,,18.7,20.0,22.627009980963223,22.00008087016295
70,Devin Booker,SG,25,PHO,68,68,34.5,9.7,20.9,0.466,2.7,7.0,0.383,7.0,13.9,0.508,0.53,4.6,5.3,0.868,0.7,4.4,5.0,4.8,1.1,0.4,2.4,2.6,26.8,0.336,22.4,1.0,4.1,0.2,13.2,3.3,0.255,3.9,2.1,4.3,21.3,1.6,9.3,7.8,0.576,32.0,3.6,7.6,0.156,"$36,016,200",PHO,"$31,610,000",$36016200,2022,2021,2022,,,31.61,36.0162,38.24811687156403,39.61796563179814
71,Brandon Boston Jr.,SG,20,LAC,51,0,14.9,2.5,6.4,0.385,0.7,2.2,0.306,1.8,4.2,0.425,0.437,1.2,1.4,0.819,0.3,1.8,2.2,1.0,0.5,0.3,0.6,0.8,6.7,0.342,10.1,1.5,-3.3,-0.4,12.7,0.9,0.222,-3.0,2.4,-0.5,11.2,1.7,8.0,7.7,0.481,22.4,-0.3,0.4,0.026,"$1,836,096",LAC,"$925,258",$1836096,2022,2021,2022,,,0.925258,1.836096,1.119562673848453,2.0197130242691355
72,Chris Boucher,SF,29,TOR,80,9,21.1,3.4,7.2,0.464,0.9,2.9,0.297,2.5,4.4,0.575,0.523,1.9,2.4,0.777,2.2,3.9,6.2,0.3,0.6,0.9,0.5,2.2,9.4,0.397,2.2,4.3,0.1,-0.4,21.3,2.4,0.334,0.5,10.9,3.5,17.9,1.4,6.0,15.8,0.57,17.8,0.9,6.0,0.169,"$11,750,000",TOR,"$7,009,615",$11750000,2022,2021,2022,,,7.009615,11.75,8.481637891321366,12.925047511220733
73,James Bouknight,SG,21,CHO,31,0,9.8,1.6,4.5,0.348,0.5,1.6,0.347,1.0,3.0,0.348,0.408,0.9,1.0,0.871,0.7,1.0,1.7,0.8,0.2,0.0,0.5,0.9,4.6,0.348,11.9,0.3,-7.1,-3.7,10.6,0.1,0.22,-3.4,7.6,-0.1,10.1,1.1,8.8,9.1,0.459,23.7,-0.4,0.0,0.001,"$4,570,080",CHO,"$4,154,400",$4570080,2022,2021,2022,,,4.1544,4.57008,5.02682621737506,5.027106479155715
77,Mikal Bridges,SF,25,PHO,82,82,34.8,5.6,10.5,0.534,1.4,3.8,0.369,4.2,6.7,0.628,0.601,1.6,1.9,0.834,0.9,3.3,4.2,2.3,1.2,0.4,0.8,1.8,14.2,0.364,8.7,1.1,1.6,1.1,10.0,3.7,0.183,0.5,2.9,5.2,14.4,1.6,6.8,6.5,0.627,15.0,2.6,8.9,0.15,"$21,700,000",BRK,"$5,557,725",$21700000,2022,2021,2022,,,5.557725,21.7,6.724850216387638,23.870087744126803
80,Malcolm Brogdon,PG,29,IND,36,36,33.5,6.8,15.1,0.448,1.6,5.2,0.312,5.1,9.9,0.518,0.501,4.0,4.6,0.856,0.9,4.2,5.1,5.9,0.8,0.4,2.1,2.0,19.1,0.343,26.9,1.0,2.3,-0.5,14.3,0.4,0.308,2.8,3.0,2.2,18.0,1.2,11.1,8.6,0.557,24.6,1.3,2.7,0.106,"$22,500,000",BOS,"$21,700,000",$22500000,2022,2021,2022,,,21.7,22.5,26.25701158218727,24.750090978933322
93,Jaylen Brown,SF,25,BOS,66,66,33.6,8.7,18.4,0.473,2.5,7.0,0.358,6.2,11.4,0.544,0.541,3.7,4.8,0.758,0.8,5.3,6.1,3.5,1.1,0.3,2.7,2.5,23.6,0.381,17.9,0.7,2.1,0.1,16.7,3.4,0.261,1.9,2.6,2.3,18.9,1.6,11.6,9.8,0.574,30.5,2.2,5.8,0.124,"$30,723,215",BOS,"$24,830,357",$31830357,2022,2021,2022,,,24.830357,31.830357,30.044745222988237,35.013521406307866
99,Jalen Brunson,SG,25,DAL,79,61,31.9,6.4,12.8,0.502,1.2,3.2,0.373,5.2,9.6,0.545,0.549,2.3,2.7,0.84,0.5,3.4,3.9,4.8,0.8,0.0,1.6,1.9,16.3,0.25,24.3,0.1,0.9,0.0,11.7,2.7,0.211,0.9,1.9,4.9,17.1,1.3,10.1,6.8,0.583,21.9,1.9,7.5,0.143,"$26,346,666",NYK,"$1,802,057",$26346666,2022,2021,2022,,,1.802057,26.346666,2.180489931832334,28.98143913295863
102,Reggie Bullock,SF,30,DAL,68,37,28.0,3.0,7.4,0.401,2.1,5.8,0.36,0.9,1.6,0.55,0.542,0.6,0.7,0.833,0.5,3.1,3.5,1.2,0.6,0.2,0.6,1.6,8.6,0.782,6.1,0.7,-1.4,0.0,12.2,2.0,0.096,-1.4,1.9,1.2,9.2,1.1,7.1,7.0,0.558,13.3,0.3,3.2,0.08,"$10,489,600",SAS,"$9,536,000",$11014080,2022,2021,2022,,,9.536,11.01408,11.538565089757501,12.115532535522219
