,Name,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48,CurrentSalary,CurrentTeam,PrevSal,NextSal,NameYear,PrevYear,NextYear,SalClean,SalNorm,PrevSalClean,NextSalClean,PrevSalNorm,NextSalNorm
104,Alec Burks,SG,30,NYK,81,44,28.6,3.5,9.0,0.391,1.9,4.8,0.404,1.6,4.2,0.378,0.499,2.7,3.3,0.822,0.6,4.3,4.9,3.0,1.0,0.3,1.1,2.7,11.7,0.534,15.7,1.1,0.8,1.2,16.6,2.9,0.363,-0.4,2.1,3.2,13.7,1.8,9.7,9.2,0.559,17.7,1.7,6.1,0.126,"$10,489,600",DET,"$9,536,000",$10489600,2022,2021,2022,,,9.536,10.4896,11.538565089757501,11.538602414783064
106,Jimmy Butler,SF,32,MIA,57,57,33.9,7.0,14.5,0.48,0.5,2.0,0.233,6.5,12.5,0.52,0.496,6.9,8.0,0.87,1.8,4.1,5.9,5.5,1.6,0.5,2.1,1.5,21.4,0.14,26.4,1.5,6.3,1.9,13.5,2.9,0.549,4.5,6.1,6.2,23.6,2.4,10.5,9.9,0.592,26.5,4.0,9.2,0.228,"$45,183,960",MIA,"$36,016,200",$45183960,2022,2021,2022,,,36.0162,45.18396,43.57962122333517,49.702538701710395
108,Kentavious Caldwell-Pope,SG,28,WAS,77,77,30.2,4.7,10.8,0.435,2.1,5.3,0.39,2.6,5.5,0.48,0.531,1.8,2.0,0.89,0.5,2.9,3.4,1.9,1.1,0.3,1.3,1.8,13.2,0.492,9.1,0.9,-1.5,-0.6,10.3,1.4,0.186,-0.9,2.0,1.4,12.6,1.8,9.8,6.2,0.568,19.0,0.3,2.8,0.058,"$14,704,938",DEN,"$13,038,862",$14704938,2022,2021,2022,,,13.038862,14.704938,15.777029979379792,16.175491259536614
110,Vlatko Čančar,PF,24,DEN,15,1,11.7,1.5,2.7,0.561,0.5,0.8,0.583,1.1,1.9,0.552,0.646,0.6,0.9,0.643,0.5,1.5,2.1,1.1,0.1,0.2,0.6,1.2,4.1,0.293,13.2,1.5,-1.7,-0.9,14.1,0.1,0.341,-0.9,5.2,0.3,12.7,0.6,16.0,9.8,0.657,14.0,0.0,0.4,0.114,"$2,234,359",DEN,"$1,782,621",$2234359,2022,2021,2022,,,1.782621,2.234359,2.156972361458537,2.457803934648821
112,Clint Capela,C,27,ATL,74,73,27.6,5.0,8.2,0.613,0.0,0.0,0.0,5.0,8.1,0.614,0.613,1.1,2.3,0.473,3.8,8.1,11.9,1.2,0.7,1.3,0.6,2.2,11.1,0.002,6.6,4.1,2.0,-0.1,31.9,2.7,0.28,2.1,15.0,5.6,21.4,1.3,6.1,23.5,0.604,15.5,2.1,8.3,0.195,"$20,616,000",ATL,"$17,103,448",$20616000,2022,2021,2022,,,17.103448,20.616,20.695181208817406,22.677683360963968
119,Wendell Carter Jr.,PF,22,ORL,62,61,29.9,5.8,11.0,0.525,1.1,3.5,0.327,4.7,7.6,0.615,0.576,2.3,3.3,0.691,2.2,8.2,10.5,2.8,0.6,0.7,1.9,2.7,15.0,0.313,15.4,2.1,1.6,0.6,29.1,2.4,0.303,1.0,7.9,2.6,18.4,0.9,13.1,18.5,0.601,20.9,1.7,5.0,0.129,"$13,050,000",ORL,"$6,920,027",$13050000,2022,2021,2022,,,6.920027,13.05,8.373236363504546,14.355052767781327
120,Alex Caruso,SG,27,CHI,41,18,28.0,2.5,6.2,0.398,1.0,3.1,0.333,1.5,3.2,0.462,0.48,1.4,1.8,0.795,0.8,2.8,3.6,4.0,1.7,0.4,1.4,2.6,7.4,0.492,18.5,1.1,0.2,2.3,11.2,1.2,0.285,-2.2,3.3,0.7,11.7,3.0,16.5,7.3,0.528,13.3,0.6,2.0,0.082,"$9,460,000",CHI,"$8,604,651",$9460000,2022,2021,2022,,,8.604651,9.46,10.411632302658031,10.406038251587077
129,Josh Christopher,SG,20,HOU,74,2,18.0,3.0,6.8,0.448,0.8,2.6,0.296,2.3,4.2,0.54,0.504,1.1,1.5,0.735,0.7,1.8,2.5,2.0,0.9,0.2,1.5,1.3,7.9,0.378,17.3,0.9,-3.5,-1.3,11.1,0.7,0.226,-2.2,4.3,-0.4,12.2,2.3,17.2,7.7,0.534,21.1,-0.5,0.3,0.01,"$2,485,200",MEM,"$2,259,240",$2485200,2022,2021,2022,,,2.25924,2.4852,2.733681605849805,2.733730048926448
131,Brandon Clarke,PF,25,MEM,64,1,19.5,4.5,7.0,0.644,0.1,0.3,0.227,4.4,6.6,0.666,0.65,1.3,2.0,0.654,2.1,3.2,5.3,1.3,0.6,1.1,0.5,1.9,10.4,0.049,10.3,4.9,4.2,1.1,17.8,1.9,0.291,3.1,11.1,4.4,23.7,1.5,6.3,14.4,0.66,17.7,2.0,6.3,0.241,"$12,500,000",MEM,"$2,726,880",$12500000,2022,2021,2022,,,2.72688,12.5,3.299526255448609,13.750050543851843
132,Jordan Clarkson,SG,29,UTA,79,1,27.1,5.9,14.1,0.419,2.4,7.6,0.318,3.5,6.5,0.535,0.504,1.8,2.2,0.828,0.8,2.6,3.5,2.5,0.8,0.2,1.6,1.9,16.0,0.536,14.5,0.7,-0.6,-1.2,10.2,2.0,0.156,0.5,3.5,1.5,14.9,1.5,9.8,7.0,0.532,26.8,0.7,3.5,0.079,"$14,260,000",UTA,"$12,420,000",$23487629,2022,2021,2022,,,12.42,23.487629,15.028206629067553,25.836486872419226
133,Nic Claxton,C,22,BRK,47,19,20.7,3.8,5.6,0.674,0.0,0.0,,3.8,5.6,0.674,0.674,1.1,2.0,0.581,1.9,3.7,5.6,0.9,0.5,1.1,0.8,2.3,8.7,0.0,6.4,4.7,0.5,0.2,18.9,1.2,0.352,0.3,10.4,2.3,18.6,1.2,11.1,14.8,0.672,15.1,0.6,3.5,0.171,"$8,750,000",BRK,"$1,782,621",$9625000,2022,2021,2022,,,1.782621,9.625,2.156972361458537,10.587538918765919
134,Amir Coffey,SG,24,LAC,69,30,22.7,3.1,6.8,0.453,1.4,3.7,0.378,1.7,3.1,0.542,0.556,1.5,1.7,0.863,0.4,2.5,2.9,1.8,0.6,0.2,0.7,1.3,9.0,0.545,11.4,0.8,-0.3,0.0,11.2,1.5,0.251,-0.3,1.8,2.3,13.0,1.2,8.0,6.7,0.598,15.8,0.7,3.8,0.116,"$3,666,667",LAC,"$153,488",$3666667,2022,2021,2022,,,0.153488,3.666667,0.18572056192289216,4.033348526197889
135,John Collins,PF,24,ATL,54,53,30.8,6.3,11.9,0.526,1.2,3.3,0.364,5.1,8.7,0.588,0.576,2.5,3.1,0.793,1.7,6.1,7.8,1.8,0.6,1.0,1.1,3.0,16.2,0.273,8.9,3.0,1.5,0.0,21.5,1.4,0.262,1.5,6.2,3.6,18.7,1.0,7.7,13.9,0.61,20.5,1.5,5.1,0.146,"$25,340,000",ATL,"$23,000,000",$25340000,2022,2021,2022,,,23.0,25.34,27.830012276051022,27.87410246249646
136,Zach Collins,C,24,SAS,28,4,17.9,2.7,5.5,0.49,0.5,1.5,0.341,2.2,4.1,0.544,0.535,1.9,2.3,0.8,1.6,3.8,5.5,2.2,0.5,0.8,1.6,2.4,7.8,0.265,16.3,3.8,-0.2,1.0,22.5,0.7,0.419,-1.2,9.5,0.6,16.4,1.2,19.7,16.0,0.594,19.2,0.2,1.2,0.118,"$7,700,000",SAS,"$6,984,127",$7700000,2022,2021,2022,,,6.984127,7.7,8.450797397717364,8.470031135012736
138,Mike Conley,PG,34,UTA,72,72,28.6,4.8,11.0,0.435,2.3,5.8,0.408,2.4,5.2,0.464,0.542,1.8,2.3,0.796,0.7,2.4,3.0,5.3,1.3,0.3,1.7,2.0,13.7,0.523,27.7,0.9,3.1,0.7,8.8,2.3,0.205,2.4,2.6,4.4,17.2,2.3,12.5,5.8,0.572,20.9,2.7,6.7,0.157,"$24,360,000",MIN,"$21,000,000",$24360000,2022,2021,2022,,,21.0,24.36,25.410011208568324,26.796098499858473
139,Pat Connaughton,SF,29,MIL,65,19,26.0,3.5,7.6,0.458,2.2,5.7,0.395,1.2,1.9,0.643,0.605,0.7,0.8,0.833,0.7,3.5,4.2,1.3,0.9,0.2,0.5,1.3,9.9,0.746,6.6,0.9,1.2,0.3,14.0,1.6,0.109,0.8,2.9,2.8,13.4,1.7,6.3,8.6,0.62,14.0,1.4,4.4,0.125,"$9,423,869",MIL,"$5,333,333",$9423869,2022,2021,2022,,,5.333333,9.423869,6.4533357766203485,10.366294005491083
146,Robert Covington,PF,31,TOT,71,42,27.3,2.9,7.0,0.42,1.8,4.8,0.378,1.1,2.2,0.509,0.548,0.8,1.0,0.841,0.8,4.7,5.5,1.3,1.5,1.3,1.1,2.7,8.5,0.681,6.8,4.4,0.2,1.7,18.9,2.4,0.139,-1.6,3.3,0.8,12.4,2.6,12.4,11.0,0.572,13.5,1.1,3.2,0.08,"$11,692,308",LAC,"$12,975,471",$11692308,2022,2021,2022,,,12.975471,11.692308,15.700326835545393,12.861586077942663
147,Robert Covington,PF,31,POR,48,40,29.8,2.7,7.0,0.381,1.6,4.8,0.343,1.0,2.2,0.462,0.499,0.6,0.8,0.833,0.9,4.9,5.7,1.4,1.5,1.3,1.2,2.8,7.6,0.685,6.7,4.3,-1.2,1.6,18.6,1.4,0.107,-2.8,3.0,-0.3,10.0,2.5,14.2,10.5,0.519,12.4,0.3,1.1,0.037,"$11,692,308",LAC,"$12,975,471",$11692308,2022,2021,2022,,,12.975471,11.692308,15.700326835545393,12.861586077942663
148,Robert Covington,PF,31,LAC,23,2,22.1,3.5,7.0,0.5,2.1,4.7,0.45,1.4,2.3,0.604,0.651,1.2,1.4,0.848,0.8,4.3,5.1,1.0,1.3,1.2,0.7,2.5,10.4,0.673,7.0,4.7,4.1,2.2,20.0,1.0,0.204,1.9,3.9,1.1,19.4,2.8,8.8,12.2,0.677,16.7,0.8,2.1,0.2,"$11,692,308",LAC,"$12,975,471",$11692308,2022,2021,2022,,,12.975471,11.692308,15.700326835545393,12.861586077942663
155,Cade Cunningham,SG,20,DET,64,64,32.6,6.7,16.1,0.416,1.8,5.7,0.314,4.9,10.4,0.472,0.471,2.2,2.6,0.845,0.9,4.6,5.5,5.6,1.2,0.7,3.7,3.1,17.4,0.352,29.1,1.9,-1.6,-0.5,16.2,1.9,0.163,-1.1,2.9,-2.4,13.1,1.8,17.5,9.2,0.504,27.5,0.2,-0.5,-0.011,"$11,055,360",DET,"$10,050,120",$11055360,2022,2021,2022,,,10.05012,11.05536,12.160650564164603,12.160940702438234
159,Stephen Curry,PG,33,GSW,64,64,34.5,8.4,19.1,0.437,4.5,11.7,0.38,3.9,7.4,0.527,0.554,4.3,4.7,0.923,0.5,4.7,5.2,6.3,1.3,0.4,3.2,2.0,25.5,0.613,30.4,1.0,5.8,0.4,14.4,3.4,0.243,5.4,1.7,4.6,21.4,1.9,13.2,8.3,0.601,30.8,4.4,8.0,0.173,"$51,915,615",GSW,"$45,780,966",$51915615,2022,2021,2022,,,45.780966,51.915615,55.39499329519454,57.10738642121224
160,Anthony Davis,C,28,LAL,40,40,35.1,9.3,17.4,0.532,0.3,1.8,0.186,8.9,15.6,0.571,0.542,4.4,6.1,0.713,2.7,7.2,9.9,3.1,1.2,2.3,2.1,2.4,23.2,0.101,14.7,5.7,3.8,1.2,22.0,2.0,0.351,2.6,8.1,2.6,23.9,1.7,9.3,15.1,0.578,27.1,2.0,4.5,0.155,"$40,600,080",LAL,"$35,361,360",$40600080,2022,2021,2022,,,35.36136,40.60008,42.78726447381998,44.66025216675427
168,DeMar DeRozan,PF,32,CHI,76,76,36.1,10.2,20.2,0.504,0.7,1.9,0.352,9.5,18.3,0.52,0.521,6.8,7.8,0.877,0.7,4.4,5.2,4.9,0.9,0.3,2.4,2.3,27.9,0.093,23.3,0.8,2.5,-0.9,13.7,1.8,0.386,3.4,2.3,7.0,23.1,1.2,9.2,8.0,0.59,31.8,3.1,8.8,0.154,"$28,600,000",CHI,"$26,000,000",$28600000,2022,2021,2022,,,26.0,28.6,31.46001387727507,31.46011564433302
173,Spencer Dinwiddie,PG,28,TOT,67,51,29.6,4.6,11.0,0.416,1.7,4.9,0.339,2.9,6.0,0.479,0.493,2.9,3.8,0.774,0.7,3.5,4.2,5.2,0.7,0.2,1.6,2.2,13.7,0.449,25.7,0.6,0.3,-0.4,13.0,1.4,0.343,0.8,2.6,2.7,15.1,1.1,10.9,7.8,0.543,21.4,1.1,4.1,0.098,"$20,357,143",BRK,"$17,142,857",$20357143,2022,2021,2022,,,17.142857,20.357143,20.742866119851616,22.392939614273583
174,Spencer Dinwiddie,PG,28,WAS,44,44,30.2,4.2,11.2,0.376,1.6,5.1,0.31,2.6,6.0,0.432,0.447,2.6,3.3,0.811,0.8,3.9,4.7,5.8,0.6,0.2,1.7,2.4,12.6,0.459,27.5,0.4,-0.9,-0.7,14.0,0.7,0.291,-0.2,3.0,0.9,13.2,1.0,11.6,8.6,0.501,21.0,0.3,1.6,0.058,"$20,357,143",BRK,"$17,142,857",$20357143,2022,2021,2022,,,17.142857,20.357143,20.742866119851616,22.392939614273583
175,Spencer Dinwiddie,PG,28,DAL,23,7,28.3,5.3,10.6,0.498,1.8,4.5,0.404,3.4,6.0,0.568,0.584,3.4,4.7,0.725,0.4,2.7,3.1,3.9,0.7,0.3,1.3,1.9,15.8,0.428,22.0,0.8,2.9,0.1,10.8,0.7,0.449,2.8,1.5,1.8,19.0,1.3,9.6,6.2,0.624,22.3,0.8,2.5,0.182,"$20,357,143",BRK,"$17,142,857",$20357143,2022,2021,2022,,,17.142857,20.357143,20.742866119851616,22.392939614273583
179,Luka Dončić,PG,22,DAL,65,65,35.4,9.9,21.6,0.457,3.1,8.8,0.353,6.8,12.8,0.528,0.529,5.6,7.5,0.744,0.9,8.3,9.1,8.7,1.2,0.6,4.5,2.2,28.4,0.406,46.0,1.4,8.2,1.8,26.0,3.8,0.349,6.4,2.7,3.8,25.1,1.6,15.3,14.3,0.571,37.4,5.9,7.6,0.159,"$40,064,220",DAL,"$10,174,391",$40064220,2022,2021,2022,,,10.174391,40.06422,12.311018540493174,44.070803999999995
180,Luguentz Dort,SG,22,OKC,51,51,32.6,5.7,14.2,0.404,2.5,7.7,0.332,3.2,6.6,0.487,0.493,3.2,3.7,0.843,0.7,3.4,4.2,1.7,0.9,0.4,1.7,2.9,17.2,0.539,8.6,1.0,-2.3,-0.7,10.9,1.1,0.263,-1.5,2.3,0.2,12.3,1.3,9.8,6.5,0.541,23.3,-0.1,1.4,0.04,"$15,277,778",OKC,"$1,782,621",$15277778,2022,2021,2022,,,1.782621,15.277778,2.156972361458537,16.80561757581982
193,Andre Drummond,C,28,TOT,73,36,19.7,3.4,5.9,0.57,0.0,0.0,0.0,3.4,5.9,0.574,0.57,1.2,2.2,0.524,3.1,6.2,9.3,1.8,1.1,0.9,1.6,2.6,7.9,0.007,13.7,4.2,1.3,1.4,34.1,3.1,0.379,-0.1,18.0,2.0,21.0,2.7,18.5,26.2,0.574,19.0,1.2,5.1,0.17,"$3,360,000",CHI,"$2,401,537",$3360000,2022,2021,2022,,,2.401537,3.36,2.9058610517995973,3.6960135861873753
194,Andre Drummond,C,28,PHI,49,12,18.4,2.6,4.9,0.538,0.0,0.0,0.0,2.6,4.8,0.542,0.538,0.9,1.7,0.512,2.8,6.1,8.8,2.0,1.1,0.9,1.6,2.5,6.1,0.008,16.0,4.5,1.3,2.5,36.1,2.2,0.345,-1.2,17.1,0.7,19.3,3.1,22.4,26.8,0.544,17.6,0.7,2.9,0.153,"$3,360,000",CHI,"$2,401,537",$3360000,2022,2021,2022,,,2.401537,3.36,2.9058610517995973,3.6960135861873753
195,Andre Drummond,C,28,BRK,24,24,22.3,5.0,8.1,0.61,0.0,0.0,0.0,5.0,8.1,0.613,0.61,1.8,3.4,0.537,3.9,6.4,10.3,1.4,0.9,1.0,1.5,3.0,11.8,0.005,9.8,3.8,1.2,-0.5,30.6,0.9,0.421,1.7,19.4,1.3,23.8,2.0,13.5,25.1,0.61,21.5,0.4,2.2,0.199,"$3,360,000",CHI,"$2,401,537",$3360000,2022,2021,2022,,,2.401537,3.36,2.9058610517995973,3.6960135861873753
196,Chris Duarte,SG,24,IND,55,39,28.0,4.9,11.3,0.432,1.7,4.6,0.369,3.2,6.7,0.475,0.507,1.6,2.0,0.804,0.7,3.4,4.1,2.1,1.0,0.2,1.6,1.7,13.1,0.411,10.9,0.6,-2.3,-1.1,13.6,0.7,0.18,-1.2,2.9,0.2,12.3,1.8,11.8,8.2,0.537,21.1,-0.1,0.9,0.029,"$4,124,400",SAC,"$3,749,520",$4124400,2022,2021,2022,,,3.74952,4.1244,4.536921201273862,4.536856677045003
198,Kris Dunn,PG,27,POR,14,3,24.0,3.1,7.3,0.431,0.1,0.8,0.091,3.1,6.5,0.473,0.436,1.2,1.3,0.944,0.6,2.9,3.5,5.6,1.6,0.2,2.3,2.7,7.6,0.108,35.1,0.9,-5.4,-0.8,13.6,0.3,0.176,-4.6,2.8,-0.1,12.5,3.3,22.5,8.0,0.482,18.3,-0.3,0.2,0.024,"$2,586,665",UTA,,$2586665,2022,2021,2022,,,0.0,2.586665,0.0,2.8453419592010025
199,Kevin Durant,PF,33,BRK,55,55,37.2,10.5,20.3,0.518,2.1,5.5,0.383,8.4,14.8,0.568,0.57,6.8,7.4,0.91,0.5,6.9,7.4,6.4,0.9,0.9,3.5,2.1,29.9,0.269,29.1,2.3,7.2,0.7,19.6,2.0,0.367,6.4,1.6,6.4,25.6,1.1,12.9,10.8,0.634,31.2,4.8,8.4,0.198,"$47,649,433",PHO,"$40,918,900",$47649433,2022,2021,2022,,,40.9189,47.649433,49.511890840108876,52.41456897087056
201,Anthony Edwards,SG,20,MIN,72,72,34.3,7.6,17.3,0.441,3.0,8.4,0.357,4.6,8.9,0.519,0.527,3.1,3.9,0.786,0.9,3.9,4.8,3.8,1.5,0.6,2.6,2.3,21.3,0.484,17.4,1.8,1.2,-0.4,12.5,2.4,0.225,1.6,2.6,1.8,16.5,2.0,12.2,7.5,0.56,26.4,2.0,4.3,0.084,"$13,534,817",MIN,"$10,245,480",$13534817,2022,2021,2022,,,10.24548,13.534817,12.397036268436315,14.888353428142816
203,Kessler Edwards,SF,21,BRK,48,23,20.6,2.3,5.6,0.412,1.0,2.8,0.353,1.3,2.7,0.473,0.502,0.3,0.4,0.842,0.9,2.7,3.6,0.6,0.6,0.5,0.9,1.8,5.9,0.509,4.1,2.2,-3.8,-0.8,13.8,0.9,0.071,-3.1,5.0,-0.2,8.3,1.4,13.2,9.5,0.516,13.8,-0.5,0.6,0.031,"$1,927,896",SAC,"$5,318",$1927896,2022,2021,2022,,,0.005318,1.927896,0.006434782838436493,2.1206933954631837
207,Joel Embiid,C,27,PHI,68,68,33.8,9.8,19.6,0.499,1.4,3.7,0.371,8.4,15.9,0.529,0.534,9.6,11.8,0.814,2.1,9.6,11.7,4.2,1.1,1.5,3.1,2.7,30.6,0.188,23.5,3.9,9.2,2.0,31.1,4.1,0.602,7.2,7.2,7.9,31.2,1.7,11.3,19.4,0.616,37.2,6.5,12.0,0.252,"$46,900,000",PHI,"$31,579,390",$47607350,2022,2021,2022,,,31.57939,47.60735,38.21107875522622,52.368277500707606
217,Bruno Fernando,C,23,TOT,30,0,5.1,1.2,1.8,0.655,0.0,0.1,0.5,1.2,1.8,0.66,0.664,0.5,0.8,0.625,0.6,1.2,1.8,0.2,0.0,0.4,0.5,0.8,2.9,0.036,7.5,6.5,-0.1,0.2,26.6,0.2,0.436,-0.4,13.0,0.2,21.2,0.3,17.6,19.8,0.671,22.4,0.1,0.4,0.139,"$2,581,522",ATL,"$1,782,621",$2581522,2022,2021,2022,,,1.782621,2.581522,2.156972361458537,2.83968463840524
218,Bruno Fernando,C,23,BOS,20,0,2.9,0.4,0.7,0.5,0.1,0.1,1.0,0.3,0.7,0.462,0.536,0.2,0.3,0.8,0.4,0.4,0.8,0.2,0.0,0.2,0.3,0.3,1.0,0.071,9.6,4.7,-2.8,0.4,14.6,0.1,0.357,-3.2,13.4,0.0,12.6,0.0,23.6,14.0,0.586,16.1,0.0,0.1,0.102,"$2,581,522",ATL,"$1,782,621",$2581522,2022,2021,2022,,,1.782621,2.581522,2.156972361458537,2.83968463840524
219,Bruno Fernando,C,23,HOU,10,0,9.4,2.9,4.1,0.707,0.0,0.1,0.0,2.9,4.0,0.725,0.707,1.1,1.9,0.579,1.1,2.9,4.0,0.3,0.1,0.8,0.9,1.8,6.9,0.024,6.3,7.6,1.5,0.2,34.1,0.1,0.463,1.3,12.8,0.2,26.5,0.5,15.4,23.4,0.699,26.3,0.1,0.3,0.164,"$2,581,522",ATL,"$1,782,621",$2581522,2022,2021,2022,,,1.782621,2.581522,2.156972361458537,2.83968463840524
220,Dorian Finney-Smith,PF,28,DAL,80,80,33.1,4.1,8.7,0.471,2.2,5.4,0.395,1.9,3.2,0.599,0.595,0.7,1.0,0.675,1.5,3.2,4.7,1.9,1.1,0.5,1.0,2.3,11.0,0.629,8.2,1.3,0.8,0.7,10.7,3.2,0.12,0.1,5.1,3.4,12.5,1.7,9.9,7.9,0.604,13.8,1.9,6.6,0.121,"$13,932,008",BRK,"$4,000,000",$13932008,2022,2021,2022,,,4.0,13.932008,4.840002134965395,15.325265134187859
221,Malik Fitts,PF,24,TOT,15,0,4.2,0.5,1.3,0.421,0.3,0.7,0.5,0.2,0.6,0.333,0.553,0.0,0.0,,0.1,1.0,1.1,0.3,0.0,0.0,0.1,0.3,1.4,0.526,12.7,0.0,-1.1,-0.5,25.2,0.1,0.0,-0.6,3.5,0.1,10.7,0.0,9.5,14.7,0.553,14.6,0.0,0.1,0.097,"$555,217",IND,"$231,062",$555217,2022,2021,2022,,,0.231062,0.555217,0.2795851433273435,0.6107409450244631
222,Malik Fitts,PF,24,UTA,7,0,5.0,0.3,1.3,0.222,0.3,0.6,0.5,0.0,0.7,0.0,0.333,0.0,0.0,,0.0,1.4,1.4,0.0,0.0,0.0,0.3,0.4,0.9,0.444,0.0,0.0,-9.8,-1.9,30.3,0.0,0.0,-7.9,0.0,-0.1,-1.6,0.0,18.2,15.6,0.333,13.7,-0.1,-0.1,-0.104,"$555,217",IND,"$231,062",$555217,2022,2021,2022,,,0.231062,0.555217,0.2795851433273435,0.6107409450244631
223,Malik Fitts,PF,24,BOS,8,0,3.5,0.8,1.3,0.6,0.4,0.8,0.5,0.4,0.5,0.75,0.75,0.0,0.0,,0.3,0.6,0.9,0.6,0.0,0.0,0.0,0.1,1.9,0.6,28.6,0.0,9.8,1.2,18.8,0.0,0.0,8.6,7.9,0.2,26.1,0.0,0.0,13.5,0.75,15.7,0.1,0.2,0.348,"$555,217",IND,"$231,062",$555217,2022,2021,2022,,,0.231062,0.555217,0.2795851433273435,0.6107409450244631
224,Malachi Flynn,PG,23,TOR,44,5,12.2,1.6,4.2,0.393,0.7,2.0,0.333,1.0,2.1,0.452,0.475,0.3,0.5,0.625,0.2,1.2,1.4,1.6,0.5,0.1,0.3,1.0,4.3,0.492,18.5,0.7,-1.5,0.4,11.3,0.5,0.131,-1.8,1.9,0.5,11.7,1.9,6.3,6.4,0.488,16.5,0.1,1.0,0.092,"$3,873,025",TOR,"$2,048,040",$3873025,2022,2021,2022,,,2.04804,3.873025,2.4781294931236317,4.260343160608143
230,Evan Fournier,SG,29,NYK,80,80,29.5,5.0,12.1,0.417,3.0,7.7,0.389,2.0,4.3,0.465,0.541,1.0,1.4,0.708,0.4,2.2,2.6,2.1,1.0,0.3,1.3,2.3,14.1,0.641,11.9,0.8,-0.7,-0.3,8.2,2.2,0.117,-0.4,1.5,1.5,12.3,1.7,9.4,4.8,0.554,20.8,0.7,3.7,0.075,"$18,857,143",NYK,"$18,139,535",$18857143,2022,2021,2022,,,18.139535,18.857143,21.948847031819877,20.74293354901136
231,De'Aaron Fox,PG,24,SAC,59,59,35.3,8.7,18.5,0.473,1.3,4.2,0.297,7.5,14.3,0.524,0.506,4.4,5.9,0.75,0.4,3.5,3.9,5.6,1.2,0.4,2.8,2.9,23.2,0.228,26.8,1.0,-0.6,-1.2,10.9,1.0,0.319,0.6,1.3,1.5,17.4,1.6,11.9,6.0,0.549,29.1,0.7,2.5,0.058,"$32,600,060",SAC,"$28,103,550",$32600060,2022,2021,2022,,,28.10355,32.60006,34.00531050002668,35.86019781860822
237,Markelle Fultz,PG,23,ORL,18,3,20.0,4.6,9.7,0.474,0.2,0.9,0.235,4.4,8.8,0.5,0.486,1.4,1.7,0.806,0.2,2.5,2.7,5.5,1.1,0.3,2.2,1.2,10.8,0.097,48.9,1.3,0.2,0.4,13.2,0.4,0.177,-0.1,1.2,0.0,17.7,2.7,17.5,7.2,0.517,27.5,0.2,0.4,0.053,"$17,000,000",ORL,"$16,500,000",$17000000,2022,2021,2022,,,16.5,17.0,19.965008806732254,18.70006873963851
242,Daniel Gafford,C,23,WAS,72,53,20.1,4.0,5.7,0.693,0.0,0.0,0.0,4.0,5.7,0.695,0.693,1.5,2.1,0.699,2.2,3.5,5.7,0.9,0.4,1.4,0.9,2.4,9.4,0.002,7.3,5.8,1.6,0.5,19.0,1.6,0.372,1.1,12.1,4.4,21.8,1.0,12.0,15.6,0.708,16.7,1.3,6.0,0.198,"$12,402,000",WAS,"$1,782,621",$12402000,2022,2021,2022,,,1.782621,12.402,2.156972361458537,13.642250147588046
243,Danilo Gallinari,PF,33,ATL,66,18,25.3,3.9,9.0,0.434,1.7,4.5,0.381,2.2,4.6,0.485,0.528,2.1,2.4,0.904,0.5,4.1,4.7,1.5,0.4,0.2,0.6,1.4,11.7,0.492,8.5,0.6,-0.2,-1.2,17.8,0.8,0.261,1.0,2.3,2.8,14.3,0.8,5.4,10.1,0.579,18.4,0.8,3.6,0.105,"$6,802,950",WAS,"$20,475,000",$6802950,2022,2021,2022,,,20.475,6.80295,24.77476092835412,7.483272507783753
247,Darius Garland,PG,22,CLE,68,68,35.7,8.0,17.3,0.462,2.6,6.7,0.383,5.4,10.6,0.512,0.536,3.2,3.5,0.892,0.6,2.7,3.3,8.6,1.3,0.1,3.6,1.7,21.7,0.387,39.9,0.3,2.6,-0.8,8.2,2.5,0.205,3.4,1.8,3.8,19.0,1.8,16.2,5.1,0.576,27.8,2.8,6.3,0.125,"$33,500,000",CLE,"$7,040,880",$34005250,2022,2021,2022,,,7.04088,34.00525,8.519468558008787,37.40591250050543
249,Usman Garuba,PF,19,HOU,24,2,10.0,0.8,1.8,0.432,0.2,0.8,0.25,0.6,1.0,0.583,0.489,0.2,0.3,0.714,0.9,2.6,3.5,0.7,0.4,0.5,0.3,1.2,2.0,0.455,9.6,4.1,-0.9,0.9,28.7,0.3,0.159,-1.8,9.6,0.2,12.9,2.0,11.3,19.1,0.51,9.4,0.1,0.5,0.105,"$2,588,400",OKC,"$2,353,320",$2588400,2022,2021,2022,,,2.35332,2.5884,2.8475184560641913,2.8472504662164893
251,Rudy Gay,PF,35,UTA,55,1,18.9,2.9,6.9,0.414,1.3,3.7,0.345,1.6,3.2,0.494,0.507,1.1,1.4,0.785,1.0,3.4,4.4,1.0,0.5,0.3,0.9,1.7,8.1,0.536,7.8,1.6,-1.0,-0.3,19.1,1.3,0.208,-0.7,6.0,0.8,13.0,1.2,10.2,12.8,0.539,19.3,0.3,2.1,0.097,"$6,479,000",OKC,"$5,890,000",$6479000,2022,2021,2022,,,5.89,6.479,7.126903143736544,7.126926197889288
