NameYear,2023,PrevYear,Name,Pos,Type,OTm,PrevStats,NTm,ID,Weight,Height,Age,Tm,G,GS,MP,FG%,3P,3P%,3PA,FT,FT%,FTA,ORB,TRB,AST,STL,BLK,TOV,PTS,USG%,TS%,PER,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,PrevSal,NextSal,Unnamed: 0,TeamOrTot,FG,FGA,2P,2PA,2P%,eFG%,DRB,PF,3PAr,AST%,BLK%,DRB%,FTr,ORB%,STL%,TOV%,TRB%,Salary,Team,PrevSalClean,NextSalClean,PrevSalNorm,NextSalNorm
Devontae_Cacok_2020,,2020.0,Devontae Cacok,F,RFA,LAL,"2.0 Pts, 1.6 Reb, 0.1 Ast",BRK,/players/c/cacokde01.html,240.0,6-7,24.0,LAL,20.0,1.0,4.9,0.586,0.0,,0.0,0.3,0.455,0.6,0.6,1.6,0.1,0.3,0.2,0.3,2.0,17.2,0.576,17.2,0.1,0.2,0.3,0.142,-1.5,0.4,-1.0,0.0,< $Minimum,"$364,533",,,,,,,,,,,,,,,,,,,,,,0.0,0.364533,0.0,0.36453300000000005
Carsen_Edwards_2020,,2020.0,Carsen Edwards,G,UFA,MEM,"4.0 Pts, 0.8 Reb, 0.5 Ast",DET,/players/e/edwarca01.html,200.0,5-11,22.0,BOS,31.0,1.0,8.9,0.423,0.6,0.286,2.0,0.4,0.846,0.4,0.1,0.8,0.5,0.2,0.0,0.2,4.0,19.3,0.527,10.2,0.1,0.2,0.3,0.051,-3.2,-1.3,-4.5,-0.2,"$1,517,981","$76,744",,,,,,,,,,,,,,,,,,,,,,1.517981,0.076744,1.5635176482866044,0.07674399999999999
Wenyen_Gabriel_2020,,2020.0,Wenyen Gabriel,F,UFA,NOP,"3.4 Pts, 2.6 Reb, 0.5 Ast",MIL,/players/g/gabriwe01.html,205.0,6-9,23.0,NOP,21.0,0.0,11.5,0.4,0.6,0.406,1.5,0.5,0.647,0.8,1.0,2.6,0.5,0.4,0.4,0.7,3.4,14.4,0.533,9.8,0.0,0.3,0.3,0.052,-3.2,-0.1,-3.3,-0.1,"$1,620,564","$29,814",,,,,,,,,,,,,,,,,,,,,,1.620564,0.029814,1.6691779503023638,0.029814
Timothe_Luwawu-Cabarrot_2020,,2020.0,Timothé Luwawu-Cabarrot,F,UFA,BRK,"6.4 Pts, 2.2 Reb, 1.2 Ast",ATL,/players/l/luwawti01.html,220.0,6-7,25.0,BRK,58.0,7.0,18.1,0.365,1.3,0.314,4.1,0.6,0.814,0.7,0.5,2.2,1.2,0.6,0.1,0.7,6.4,17.4,0.493,7.8,-0.3,0.7,0.3,0.015,-3.2,-1.2,-4.4,-0.6,"$1,824,003","$1,939,350",,,,,,,,,,,,,,,,,,,,,,1.824003,1.93935,1.8787197474986257,1.93935
Juwan_Morgan_2020,,2020.0,Juwan Morgan,F,RFA,UTA,"1.2 Pts, 1.0 Reb, 0.3 Ast",BOS,/players/m/morgaju01.html,232.0,6-7,23.0,UTA,29.0,0.0,5.1,0.467,0.1,0.308,0.4,0.1,0.429,0.2,0.3,1.0,0.3,0.1,0.0,0.1,1.2,10.9,0.529,8.5,0.1,0.2,0.3,0.105,-3.5,1.2,-2.3,0.0,"$1,517,981","$19,186",,,,,,,,,,,,,,,,,,,,,,1.517981,0.019186,1.5635176482866044,0.019185999999999998
Svi_Mykhailiuk_2020,,2020.0,Svi Mykhailiuk,G-F,UFA,OKC,"8.5 Pts, 2.5 Reb, 1.7 Ast",TOR,/players/m/mykhasv01.html,205.0,6-7,23.0,TOT,66.0,14.0,20.1,0.411,1.6,0.334,4.8,0.6,0.76,0.8,0.4,2.5,1.7,0.8,0.2,1.3,8.5,20.0,0.529,10.4,-0.8,1.1,0.3,0.01,-1.9,-0.7,-2.6,-0.2,"$1,663,861","$1,729,217",,,,,,,,,,,,,,,,,,,,,,1.663861,1.729217,1.7137737809602345,1.729217
Jabari_Parker_2020,,2020.0,Jabari Parker,F,UFA,BOS,"5.5 Pts, 3.2 Reb, 0.8 Ast",BOS,/players/p/parkeja01.html,245.0,6-8,25.0,TOT,13.0,0.0,12.7,0.545,0.2,0.182,0.8,0.8,0.769,1.0,0.8,3.2,0.8,0.1,0.4,0.8,5.5,18.5,0.593,14.7,0.2,0.1,0.3,0.089,-0.9,0.0,-0.9,0.0,"$6,500,000$430,729","$1,068,288",,,,,,,,,,,,,,,,,,,,,,6.930729,1.068288,7.138638169378781,1.068288
Gary_Payton_II_2020,,2020.0,Gary Payton II,G,UFA,GSW,"2.5 Pts, 1.1 Reb, 0.1 Ast",GSW,/players/p/paytoga02.html,190.0,6-3,28.0,GSW,10.0,0.0,4.0,0.769,0.2,0.5,0.4,0.3,0.75,0.4,0.2,1.1,0.1,0.6,0.1,0.1,2.5,16.8,0.847,29.2,0.2,0.1,0.3,0.331,1.0,8.2,9.2,0.1,"$237,966","$1,939,350",,,,,,,,,,,,,,,,,,,,,,0.237966,1.93935,0.24510454392523368,1.93935
Ben_McLemore_2020,,2020.0,Ben McLemore,G,UFA,LAL,"7.7 Pts, 1.9 Reb, 0.7 Ast",POR,/players/m/mclembe01.html,195.0,6-3,27.0,TOT,53.0,5.0,17.1,0.37,1.8,0.346,5.3,0.7,0.736,1.0,0.3,1.9,0.7,0.4,0.2,0.8,7.7,20.4,0.523,8.5,-0.5,0.7,0.2,0.013,-2.7,-1.2,-3.9,-0.4,"$2,283,034$569,674","$2,389,641",,,,,,,,,,,,,,,,,,,,,,2.852708,2.389641,2.9382840123877587,2.389641
Matt_Thomas_2020,,2020.0,Matt Thomas,G,UFA,UTA,"3.1 Pts, 1.0 Reb, 0.4 Ast",CHI,/players/t/thomama02.html,190.0,6-4,26.0,TOT,45.0,0.0,7.2,0.394,0.6,0.338,1.8,0.3,0.857,0.3,0.2,1.0,0.4,0.1,0.0,0.3,3.1,19.5,0.522,9.1,0.0,0.2,0.2,0.031,-2.6,-2.0,-4.6,-0.2,"$1,517,981","$1,669,178",,,,,,,,,,,,,,,,,,,,,,1.517981,1.669178,1.5635176482866044,1.669178
